Year, Total, Gas, Liquid, Solid, Cement, Flaring
1950,25912,1,6521,18833,562,0
1951,27620,1,7129,19860,631,0
1952,30136,2,7813,21673,651,0
1953,30590,4,8274,21583,733,0
1954,32107,6,8930,22326,847,0
1955,35354,6,9363,25027,955,0
1956,36915,8,9825,26098,987,0
1957,38690,6,10543,27111,1033,0
1958,40602,5,11346,28156,1097,0
1959,40378,10,11459,27758,1152,0
1960,42761,13,13280,28262,1210,0
1961,44245,136,14267,28663,1183,0
1962,45432,202,14886,29113,1227,0
1963,48168,196,16537,29800,1320,313
1964,52895,396,18970,31550,1463,512
1965,58360,579,20779,34087,1566,1350
1966,60416,644,22933,33799,1622,1417
1967,64802,633,22140,34690,1676,5666
1968,70323,645,23482,36164,1938,8098
1969,75988,789,25611,36897,2231,10460
1970,82758,223,26884,38236,2423,14994
1971,90758,462,31496,40915,2614,15277
1972,96242,1205,32611,42010,2771,17646
1973,103399,1463,35053,42110,2937,21835
1974,106249,1395,36665,42915,3066,22207
1975,105887,1753,39297,44266,3021,17552
1976,114920,2425,41229,46917,3110,21233
1977,118450,3691,43670,48224,3335,19529
1978,126544,9398,45273,48766,3539,19570
1979,136595,5365,49614,53865,3811,23941
1980,146754,9452,54188,57969,4336,20810
1981,150300,8024,58446,64776,4714,14339
1982,156665,6546,64520,68294,5036,12268
1983,162891,8305,66613,71218,5486,11266
1984,177878,12983,68681,78073,5700,12435
1985,182407,13332,68945,80430,5671,14029
1986,188945,15927,69656,83457,5436,14470
1987,189022,18524,67044,85295,5920,12244
1988,198708,18819,71946,88078,6428,13437
1989,191405,19488,73630,85557,6712,6017
1990,181838,20731,68053,80522,6812,5722
1991,189634,21417,71670,83523,7304,5723
1992,190101,20299,77394,78498,7494,6419
1993,197910,22359,75355,86763,7441,5993
1994,199609,23415,72316,90045,7837,5995
1995,211373,27772,74129,94471,8380,6621
1996,217664,29536,76882,96118,8589,6538
1997,220295,26053,80897,98036,8876,6431
1998,229518,30934,86614,96569,9092,6312
1999,228226,31401,81395,99583,9367,6483
2000,243666,31646,86408,100623,9858,15129
2001,240775,32946,80441,101097,10446,15842
2002,244364,37882,78760,98125,11089,18507
2003,262036,38296,89162,106257,11178,17143
2004,282023,40796,95380,113495,12322,20029
2005,287124,49414,91652,112585,13485,19990
2006,298677,49002,100763,114318,15046,19552
2007,311099,53069,103692,117384,16499,20449
2008,325878,53601,111157,124005,17855,19257
2009,329603,53040,119551,121637,19193,16181
2010,330566,55067,118014,120833,19497,17155
2011,333539,60700,119173,118920,19637,15106
2012,344663,63795,124117,118794,22400,15557
2013,345667,62274,130103,116282,22293,14711
