Year, Total, Gas, Liquid, Solid, Cement, Flaring
1950,778475,89425,287225,375038,6695,20094
1951,809593,105725,311243,363582,7243,21800
1952,792619,113320,324708,323839,7456,23298
1953,809431,119267,340605,319355,8006,22202
1954,781509,125446,349249,277295,8340,21183
1955,854300,135660,379887,306027,9474,23252
1956,901152,143474,402088,319344,10201,26043
1957,897854,154066,403719,303376,10027,26670
1958,872293,163720,410610,264300,10404,23266
1959,901826,171438,427810,269446,11168,21966
1960,922500,183489,436659,270757,10726,20868
1961,921975,186762,443189,261387,11035,19604
1962,959754,200087,458061,270984,11577,19048
1963,996855,211044,466821,289160,12053,17780
1964,1048422,226626,483282,307725,12882,17914
1965,1092028,235296,506344,319681,13142,17566
1966,1145405,253720,528171,330993,13750,18773
1967,1196101,266434,553347,341302,13404,21613
1968,1246033,284799,588889,336073,14521,21747
1969,1310102,308016,623188,341317,14867,22722
1970,1415698,322368,710598,343405,14879,24445
1971,1433306,334375,736510,326331,15969,20125
1972,1505046,343014,793673,332908,17233,18221
1973,1575549,343312,841477,354227,18369,18164
1974,1540245,330464,826327,350242,18223,14991
1975,1492024,311121,810623,341827,16941,11513
1976,1560590,318990,835772,375042,18034,12756
1977,1604127,312816,879172,382086,19083,10969
1978,1661243,320965,901418,406429,20428,12005
1979,1686446,336682,894237,422239,21459,11826
1980,1649310,335369,847218,434430,20998,11298
1981,1592100,327170,791439,442188,20593,10707
1982,1532010,311794,758229,430151,19250,12585
1983,1528723,302178,741977,454356,18863,11347
1984,1573787,313593,751189,477470,20051,11482
1985,1584866,308582,754401,490070,20687,11129
1986,1586439,293981,782529,477796,21784,10347
1987,1658679,310137,808369,506332,22831,11012
1988,1727501,326005,837571,530096,22750,11080
1989,1762882,348890,839592,541988,22500,9914
1990,1708132,354365,788120,533193,22669,9788
1991,1710728,370112,778268,530270,22277,9805
1992,1743483,371715,802278,537270,22189,10030
1993,1787311,385893,818227,547520,23363,12304
1994,1821193,398937,830752,553318,25351,12834
1995,1837932,416186,827980,554881,25108,13773
1996,1888634,422316,848923,576713,26717,13964
1997,1940268,426441,876901,594266,28517,14139
1998,1971664,427051,905498,599767,29211,10141
1999,2010069,446369,923531,602337,29752,8078
2000,2063876,460726,934037,627867,30560,10688
2001,2043056,441476,944489,617587,30176,9328
2002,2056036,457557,935999,623059,29934,9488
2003,2080045,455005,960713,624845,30386,9098
2004,2106833,456536,974625,635044,31328,9300
2005,2133486,457707,988816,641919,33401,11641
2006,2119697,464699,974493,634231,35333,10937
2007,2156264,492353,975008,639004,35630,14271
2008,2131278,495590,948126,633531,35059,18972
2009,2013178,489590,916544,558550,30942,17553
2010,2073572,514570,929064,582071,32523,15337
2011,2057303,528516,917900,561766,34171,14945
2012,2023027,550897,916089,504753,36054,15238
2013,2053579,559599,923262,515152,36636,18927
