Year, Total, Gas, Liquid, Solid, Cement, Flaring
1950,51008,420,8622,41238,725,0
1951,62101,501,12013,48619,969,0
1952,71909,653,12626,57376,1258,0
1953,75423,807,13965,59146,1503,0
1954,86229,927,16297,67215,1791,0
1955,104897,1450,21691,76742,1837,3177
1956,116690,1693,25258,84019,2239,3481
1957,130817,1928,26289,97683,2553,2365
1958,210154,1933,29794,172211,3524,2694
1959,267686,2285,32270,226220,3848,3059
1960,294333,3545,37776,245245,4309,3461
1961,239085,3961,40705,186664,3824,3927
1962,217993,4225,44122,161259,4070,4317
1963,227253,4536,48362,163300,4573,6486
1964,233901,5178,49391,162228,4894,12212
1965,260621,5883,56551,176298,5314,16572
1966,284834,6727,65376,187820,5702,19205
1967,268708,7510,64226,166629,5626,24718
1968,295513,8830,77780,176751,6505,25650
1969,341905,11400,88379,201951,7248,32924
1970,422605,12145,115323,251917,7770,35452
1971,478503,12595,130866,281077,10316,43648
1972,502390,13821,140436,287262,10796,50076
1973,541315,16373,158217,295435,11570,59723
1974,553770,19001,166637,297367,11959,58806
1975,606414,20879,180152,340443,13715,51228
1976,653197,22173,207185,344872,17630,61328
1977,707115,23186,230256,374102,19579,59995
1978,762401,24831,250667,404080,22607,60217
1979,795439,30023,271499,418051,23978,51889
1980,793031,36592,266735,419458,25375,44869
1981,792426,41403,267996,425228,27133,30667
1982,836554,35229,276388,464144,29881,30913
1983,888877,34331,297035,496639,33601,27273
1984,945428,50035,297914,541661,36684,19138
1985,1019859,55918,312671,594331,40511,16430
1986,1076723,62540,328669,626071,44884,14557
1987,1139063,68788,336649,670364,48912,14353
1988,1235801,75237,368873,722545,54551,14594
1989,1285348,82446,392093,739720,57105,13987
1990,1339744,96421,400395,767032,59204,16695
1991,1421983,109383,429344,802665,65883,14710
1992,1646628,165454,513782,873927,78813,14648
1993,1734664,177414,538306,915883,89337,13728
1994,1817254,188376,551883,963941,98427,14625
1995,1898255,189709,571268,1015736,108827,12716
1996,1976742,197861,596637,1054278,114578,13384
1997,1997660,208798,610123,1047068,117566,14100
1998,1902578,208791,599523,964289,116280,13692
1999,1964228,227109,637292,962899,123706,13221
2000,2062546,234654,694050,990699,129503,13638
2001,2123794,247635,701504,1017472,142098,15080
2002,2206246,269856,701031,1065828,156246,13280
2003,2485948,284976,729541,1278377,178134,14921
2004,2780602,311924,790046,1466493,194866,17284
2005,2954444,333675,785902,1602751,212162,19958
2006,3190422,358509,809892,1759776,239505,22746
2007,3354410,376889,829532,1866137,261017,20838
2008,3560561,406379,860809,1999584,271969,21817
2009,3750049,420979,896535,2098477,311372,22684
2010,4142795,467921,929995,2379164,341688,24026
2011,4502850,500433,932937,2658185,386669,24625
2012,4685396,515640,992008,2745645,407911,24192
2013,4713822,531420,998801,2719010,440292,24302
