Year, Total, Gas, Liquid, Solid, Cement, Flaring
1950,45382,37,4725,39804,816,0
1951,52177,44,6666,44386,1081,0
1952,54781,49,7854,45689,1189,0
1953,58573,59,9777,47290,1447,0
1954,60162,75,11850,46481,1756,0
1955,60928,94,13657,45413,1764,0
1956,66911,128,15681,48980,2123,0
1957,74961,174,19297,53038,2453,0
1958,73810,253,20429,50680,2448,0
1959,78618,320,23888,51630,2780,0
1960,91132,437,31116,56051,3529,0
1961,105601,558,39002,62210,3828,0
1962,109339,727,43696,60515,4400,0
1963,120057,1004,52900,61559,4595,0
1964,131973,1095,61798,63992,5089,0
1965,142985,987,70453,66447,5097,0
1966,151959,1012,77239,67860,5846,0
1967,173486,1069,94133,71782,6501,0
1968,194885,1157,109466,77101,7163,0
1969,222061,1421,129714,83202,7726,0
1970,255465,2903,159504,84497,8547,16
1971,265387,3400,175006,78087,8878,18
1972,283717,3889,192719,77220,9856,32
1973,302780,4796,204652,81796,11501,35
1974,303489,6126,199084,87426,10822,32
1975,291739,7131,191306,83496,9756,48
1976,302065,8632,200531,82657,10185,60
1977,313267,10499,208349,83574,10771,75
1978,307823,13918,204165,77337,12351,52
1979,322451,15880,211211,82509,12777,74
1980,324910,18402,198957,94615,12812,125
1981,322349,19409,188671,101732,12495,41
1982,315712,20780,181922,101077,11880,53
1983,308674,21924,177439,97354,11785,172
1984,327517,27659,180960,107180,11601,118
1985,322865,31113,168320,112447,10861,123
1986,322774,32091,171899,108057,10639,87
1987,324946,32640,171758,109813,10664,70
1988,349401,33999,185199,118566,11541,95
1989,363902,36017,194753,121090,11896,146
1990,378864,39288,206871,119979,12562,166
1991,379263,40356,203103,122503,13113,188
1992,387858,41502,211355,122014,12840,147
1993,387121,42547,208103,123483,12854,135
1994,404720,44823,218247,128047,13492,112
1995,408636,46131,217216,131831,13343,114
1996,420457,48414,220226,137759,13858,200
1997,421004,50151,214339,142781,13541,192
1998,412101,51089,208385,140308,12134,186
1999,425672,54152,210877,148346,12062,236
2000,433571,56282,211230,153655,12222,185
2001,428196,57605,201712,157119,11604,155
2002,437062,58199,205667,162091,10961,145
2003,442174,59843,207697,163913,10617,103
2004,450742,59164,204226,176815,10434,101
2005,445512,58032,204815,171752,10808,104
2006,447297,64974,196742,174550,10923,110
2007,455364,70782,194765,179018,10643,156
2008,447244,72366,187424,177235,10021,199
2009,420422,71029,174538,165755,8901,200
2010,433034,73909,176276,174298,8327,227
2011,439446,83414,181952,165516,8345,220
2012,450371,85819,187188,168347,8810,204
2013,455052,87513,181747,176453,9144,193
